Region	KKindex	KKx	KKy	Signal	LMpval	LMq	LMI	geometry
11:110780000-114760000	48	0.09804386521720854	0.9070339674212927	-3.7506204405055246	0.1373172536549269	3	0.28872172411836483	POLYGON ((0.0412284410040524 0.9392448091561637, 0.0425906840770411 0.9416776055147955, 0.0461635231601867 0.9468292820571167, 0.0502133309555348 0.9516150951679152, 0.054702875025283 0.9559910458482295, 0.0595908801586593 0.9599169032229746, 0.0648324078409726 0.9633565744087563, 0.0703792694017269 0.9662784363385162, 0.0761804690434679 0.9686556264923359, 0.0821826726783188 0.9704662898615288, 0.0883306982618946 0.9716937798755213, 0.094568023116647 0.9723268114442772, 0.1008373035804951 0.9723595647092498, 0.107080902203285 0.9717917385490122, 0.1132414176442284 0.9706285533476575, 0.1192622123986394 0.9688807030005138, 0.1250879335022431 0.9665642565984184, 0.1306650214258948 0.9637005106944296, 0.1350840976951385 0.9608661710681701, 0.1350875117726021 0.9608678754449834, 0.1315422047665902 0.9204388500447209, 0.1038271103039404 0.8814737937969636, 0.0736569307638211 0.8898447331081483, 0.041209545645258 0.9392423436243421, 0.0412284410040524 0.9392448091561637))
11:110780000-114760000	49	0.0857007692290513	0.8625475115768378	-3.7506204405055246	0.0631787364252715	3	0.24835187569664793	POLYGON ((0.1038271103039404 0.8814737937969636, 0.1147026086314246 0.8594885503110007, 0.1065865247949222 0.8339181098665204, 0.0871216170528074 0.8305016824563404, 0.0616053783428251 0.8513551273825339, 0.0736569307638211 0.8898447331081483, 0.1038271103039404 0.8814737937969636))
11:110780000-114760000	50	0.04819586870278775	0.8742907411115511	-3.7506204405055246	0.14723705525889483	3	0.1936941033133601	POLYGON ((0.0304943172683084 0.9372343034172413, 0.0366261830392361 0.9386442906062327, 0.041209545645258 0.9392423436243421, 0.0736569307638211 0.8898447331081483, 0.0616053783428251 0.8513551273825339, 0.0267283191275672 0.8461792943398194, 0.0213007492478592 0.8496929850663935, 0.0195077514078846 0.8521449777840754, 0.0255130029697545 0.9355709319453446, 0.0304943172683084 0.9372343034172413))
11:110780000-114760000	51	0.05543448425088133	0.8255137382554194	-0.5537067886682056	0.008219835603287933	4	-0.8633081219865116	POLYGON ((0.0616053783428251 0.8513551273825339, 0.0871216170528074 0.8305016824563404, 0.0725298971305794 0.8070056933002012, 0.0341481964608296 0.8137578301402242, 0.0267283191275672 0.8461792943398194, 0.0616053783428251 0.8513551273825339))
11:110780000-114760000	52	0.04842012776504382	0.7687174389630632	-2.002824006630979	0.03013939721205576	4	-0.26269709336013775	POLYGON ((0.0258169049972502 0.783594258450117, 0.0750682009837846 0.7804166130070523, 0.0769753168740628 0.7774627180588887, 0.0599668602459006 0.7351887211029462, 0.0462854341798878 0.7288960471835991, 0.0215131119769792 0.7684527172238212, 0.0258169049972502 0.783594258450117))
11:110780000-114760000	53	0.009527675100650515	0.744361082179642	-3.7506204405055246	0.14723705525889483	3	0.1936941033133601	POLYGON ((0.0175251875167251 0.6795450880412364, 0.0141441647919255 0.6791389618380879, 0.0077557183506513 0.6789998006117753, 0.0013841953815369 0.679484887030865, -0.0049095514498077 0.6805895881682221, -0.0110654122962989 0.6823033533267472, -0.0170245942220172 0.6846098148061851, -0.022730182717387 0.6874869442265347, -0.0281276852740239 0.6909072629150542, -0.0331655518277122 0.6948381043475171, -0.0377956670989081 0.6992419261372104, -0.0419738101285565 0.7040766685919579, -0.0456600766203242 0.7092961564146861, -0.0463809827933024 0.710563632421532, -0.007156487288566 0.7604339971131928, 0.0215131119769792 0.7684527172238212, 0.0462854341798878 0.7288960471835991, 0.0175505893935208 0.6794749730118538, 0.0175251875167251 0.6795450880412364))
11:110780000-114760000	54	-0.0012319766444954872	0.7828304263535696	-3.7506204405055246	0.08575828483430331	3	0.23241002541818886	POLYGON ((-0.0147191545228515 0.8055089661416363, 0.0236809841628359 0.7922946757715758, 0.0258169049972502 0.783594258450117, 0.0215131119769792 0.7684527172238212, -0.007156487288566 0.7604339971131928, -0.0241108462247416 0.8037611871947992, -0.0147191545228515 0.8055089661416363))
11:110780000-114760000	55	-0.010293234804390143	0.8315211050134605	-0.6245228508971749	0.027279454410911782	4	-0.7623550412819979	POLYGON ((0.0195077514078846 0.8521449777840754, 0.0213007492478592 0.8496929850663935, -0.0147191545228515 0.8055089661416363, -0.0241108462247416 0.8037611871947992, -0.0312166889884917 0.8057496094580859, -0.0281469863647592 0.8523950259361895, -0.0234503048622897 0.8563628999211266, 0.0195077514078846 0.8521449777840754))
11:110780000-114760000	56	-0.00571279766171571	0.8781712493555198	-3.7506204405055246	0.1877162456750865	3	0.19458975992968355	POLYGON ((-0.0133152787745107 0.943113063619116, -0.0068476694063791 0.9435466960082272, -0.0003689062588219 0.9433378035347297, 0.0060573359001189 0.9424884392416956, 0.0123678984907062 0.9410069508759262, 0.0185007598584947 0.9389078988443851, 0.0243956448373556 0.9362119131111828, 0.0255011401164809 0.9355669706751801, 0.0255130029697545 0.9355709319453446, 0.0195077514078846 0.8521449777840754, -0.0234503048622897 0.8563628999211266, -0.0333314917605148 0.9407698448023747, -0.0133152787745107 0.943113063619116))
11:110780000-114760000	57	-0.04574522363372401	0.8734848117220372	-3.7506204405055246	0.3187536249275015	3	0.1259604887691708	POLYGON ((-0.0945844670389016 0.9168461687505746, -0.0930020431495467 0.9186736374222784, -0.0883168202805045 0.9231123858906549, -0.083216820676346 0.9270676109582956, -0.0777517338331562 0.9305007767123051, -0.0719748063063027 0.9333784336841474, -0.0659423229271597 0.9356725447491295, -0.059713058417789 0.9373607582932065, -0.053347704746519 0.9384266259856333, -0.0333314917605148 0.9407698448023747, -0.0234503048622897 0.8563628999211266, -0.0281469863647592 0.8523950259361895, -0.0618194965096108 0.8548169907940523, -0.0946242771951652 0.9168423121354967, -0.0945844670389016 0.9168461687505746))
11:110780000-114760000	58	-0.04858230972683964	0.8340408825741327	-3.7506204405055246	0.19173616527669446	3	0.16986892047961924	POLYGON ((-0.0618194965096108 0.8548169907940523, -0.0281469863647592 0.8523950259361895, -0.0312166889884917 0.8057496094580859, -0.0361118293959817 0.8039993779378208, -0.0741898583252959 0.8288927724311239, -0.0618194965096108 0.8548169907940523))
11:110780000-114760000	59	-0.08629689653692732	0.8520373011368233	-3.7506204405055246	0.24473510529789405	3	0.2234963344559287	POLYGON ((-0.1477588346159658 0.8297288469885356, -0.149654877661208 0.8358817080875693, -0.150936601997417 0.8421912137464451, -0.151591580031011 0.8485961870257747, -0.151613461097829 0.8550345253325375, -0.1510020330391426 0.8614438025665528, -0.1497632242587457 0.8677618744036742, -0.1479090462411776 0.8739274808468867, -0.1454574770884209 0.8798808402029703, -0.1424322872043034 0.8855642287255374, -0.1388628088167656 0.8909225403042267, -0.1347836515727066 0.8959038207733087, -0.1302343669629986 0.9004597716590502, -0.1252590648314034 0.9045462184815062, -0.1199059856857199 0.908123539070084, -0.1142270329580297 0.9111570477399374, -0.1082772697492467 0.9136173316042157, -0.1021143849375298 0.915480535761286, -0.0957981338271717 0.9167285945917565, -0.0946242771951652 0.9168423121354967, -0.0618194965096108 0.8548169907940523, -0.0741898583252959 0.8288927724311239, -0.1389267580244306 0.805395626005587, -0.1477588346159658 0.8297288469885356))
11:110780000-114760000	60	-0.06863274335385693	0.8033708591709262	-3.7506204405055246	0.12665746685066298	3	0.29347762087994417	POLYGON ((-0.1071058999226144 0.7505025966445892, -0.1121391251977617 0.7545606993907107, -0.116746962497412 0.7590960483285999, -0.1208843582340858 0.764064298632944, -0.1245108586094744 0.7694168727422644, -0.1275910051554762 0.775101435330856, -0.1300946814328954 0.7810624050226385, -0.1389267580244306 0.805395626005587, -0.0741898583252959 0.8288927724311239, -0.0361118293959817 0.8039993779378208, -0.0861434896218966 0.7352478851216546, -0.1071058999226144 0.7505025966445892))
11:110780000-114760000	61	-0.026707922752421495	0.772861436125057	-3.7506204405055246	0.3101137977240455	3	0.10922300053918821	POLYGON ((-0.0463860127672262 0.7105724759735814, -0.0480117210623425 0.7110440830881627, -0.0540214676448772 0.7134543050352153, -0.0597633568413787 0.7164471184733435, -0.0651810793211789 0.71999317359872, -0.0861434896218966 0.7352478851216546, -0.0361118293959817 0.8039993779378208, -0.0312166889884917 0.8057496094580859, -0.0241108462247416 0.8037611871947992, -0.007156487288566 0.7604339971131928, -0.0463809827933024 0.710563632421532, -0.0463860127672262 0.7105724759735814))
11:110780000-114760000	62	0.009867651915089147	0.8150854520955015	-3.7506204405055246	0.08575828483430331	3	0.23241002541818886	POLYGON ((0.0213007492478592 0.8496929850663935, 0.0267283191275672 0.8461792943398194, 0.0341481964608296 0.8137578301402242, 0.0236809841628359 0.7922946757715758, -0.0147191545228515 0.8055089661416363, 0.0213007492478592 0.8496929850663935))
11:110780000-114760000	63	0.05014444456811329	0.7954431510552923	-3.7506204405055246	0.03493930121397572	3	0.27520130774457874	POLYGON ((0.0236809841628359 0.7922946757715758, 0.0341481964608296 0.8137578301402242, 0.0725298971305794 0.8070056933002012, 0.0750682009837846 0.7804166130070523, 0.0258169049972502 0.783594258450117, 0.0236809841628359 0.7922946757715758))
